help,result,Dataset + Detail
https://data.pkc.gov.uk/api/3/action/help_show?name=package_list,air-quality-management-area,Air Quality Management Area
,availability-of-superfast-broadband-in-pkc,Availability of Superfast Broadband in PKC
,availability-of-ultrafast-broadband-in-pkc,Availability of Ultrafast Broadband in PKC
,car-parks-in-pkc,Car Parks in Perth and Kinross
,car-park-zones-perth-city-centre,Car Parking Zones (Perth City Centre)
,claimant-count,Claiment Count
,code-point-open1,
,collated-returns-from-safer-communities-wardens-2016-2017,Collated Returns from Safer Communities Wardens 2016-2017
,community-councils,Community Council Boundaries
,contract-register,Contract Register
,customer-service-enquiries-january-to-june-2018,Customer Service Enquiries January to June 2018
,data-gov-uk-ordnance-survey,
,employment-land-audit-2015,Employment Land Audit 2015
,employment-land-audit-2016,Employment Land Audit 2016
,employment-land-audit-2017,Employment Land Audit 2017
,ev-charging-data,Electric Vehicle Charging Station Usage
,fire-incidents,Fire Incidents
,fleetinventory,Council Fleet Inventory
,food-standards-scotland-feed,Food Hygiene Ratings in PKC
,green-belt,Green Belt
,house-prices-by-intermediate-zone,House Prices by Intermediate Zone
,learning-curve-footfall,Learning Curve (Adult Literacy Centre) Footfall
,naptan-perth-kinross,NapTAN (public transport stop) Data for PKC
,os-linked-data,
,os-open-map-local,
,os-open-names,
,os-open-rivers,
,os-open-roads,
,os-terrain-50-contour,
,os-vectormap-district1,
,perth-bike-counts,Perth Cycle Counter - North Inch/Bells Sports Centre
,perth-kinross-road-incidents-2015,Perth & Kinross Road Traffic Incidents
,pkc-arcgis-open-data,ArcGIS Harvest Feed (not a dataset)
,pkc-wards,Multi-Member Electoral Ward Boundaries
,polling-districts,Polling districts
,polling-places,Polling Places
,prescriptions-in-perth-and-kinross,Prescription Data (GP Surgeries in PKC)
,primary-school-catchments,Primary School Catchment Areas
,pullar-house-energy-usage,Pullar House Energy Usage
,roman-catholic-primary-school-catchments,Roman Catholic Primary School Catchment Areas
,roman-catholic-secondary-school-catchments,Roman Catholic Secondary School Catchment Areas
,school-meals,
,scottish-vacant-and-derelict-land-survey-2015,Vacant and Derelict Land (2015)
,scottish-vacant-and-derelict-land-survey-2016,Vacant and Derelict Land (2016)
,secondary-school-catchments,Secondary School Catchments
,special-landscape-area,Special Landscape Area
,st-ninians-episcopal-school-catchment,St Ninians Episcopal School Catchment
,uk-business-counts-local-units,UK Business Counts (Local Units)
,wind-turbines-by-planning-application,Wind turbines by planning application
https://data.dundeecity.gov.uk/api/3/action/help_s...,adult-fitness-classes,Adult Fitness Classes
,air-quality,Air Quality
,allotments,Allotments
,argis,
,bi-annual-complaints-by-category,Bi-annual complaints by category
,bicycle-parking,Bicycle Parking
,bin-sensor-returns,Bin Sensor Returns
,boundary-line,
,camperdown-wildlife-centre-diet-sheets,Camperdown Wildflife Centre Diet Sheets
,claimant-count,Claimant Count
,code-point-open1,
,common-good-fund,Common Good Fund
,contract-register,Contract Register
,data-gov-uk-ordnance-survey,
,dog-bins,Dog Bins
,dundee-farmer-s-market-traders,Dundee Farmers' Market Traders
,dundee-geoportal,
,dundee-monuments,Dundee Monuments
,dundee-satellite-receiving-station-weather-data,Dundee Satellite Receiving Station Weather Data
,energy-consumption-of-schools,Energy Consumption of Schools
,engage-dundee-consultation-results,Engage Dundee Consultation Results
,ev-charging-data,Electric Vehicle Charging Sessions Dundee
,food-hygiene-information-scheme,Food Hygine Information Scheme
,hands-up-scotland-survey,Hands Up Scotland Survey
,housing-available-now,Housing Available Now
,listed-buildings,Listed Buildings
,mobile-library-timetable,Mobile Library Timetable
,montrose,
,naptan,NapTAN (Dundee)
,neighbourhood-representative-structures,Neighbourhood Representative Structures
,opendatani,
,open-data-publication-plan,Open Data Publication Plan
,open-data-site-analytics-reports,Open Data Site Analytics Reports
,operational-property,Operational Property
,os-linked-data,
,os-open-map-local-dnd,
,os-open-rivers,
,os-open-roads,
,os-vectormap-district1,
,places-database,Dundee Places
,primary-school-class-sizes,Primary School Class Sizes
,public-bin-locations,Public Litter Bins
